Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Order Quantity,Sub Total,Discount%,Discount $,Order Total,Shipping Cost,Total
5207-1,13/8/9,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Low,Cando S750 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2013-08-16,75.00,120.97,35,4233.95,8,338.72,4233.87,26.30,4260.17
5213-1,13/8/15,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,High,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Express Air,2013-08-16,1.31,2.84,13,36.92,1,0.37,36.91,0.93,37.84
5607-1,14/9/4,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2014-09-05,2.50,5.68,23,130.64,1,1.31,130.63,3.60,134.23
5043-1,13/3/23,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Smiths Gold Paper Clips,Office Supplies,Wrap Bag,Regular Air,2013-03-26,1.82,2.98,22,65.56,4,2.62,65.52,1.58,67.10
5135-1,13/6/20,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,2013-06-21,2.29,3.58,10,35.80,5,1.79,35.75,1.63,37.38
5163-1,13/7/6,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013-07-06,21.56,35.94,28,1006.32,1,10.06,1006.31,6.66,1012.97
5150-1,13/6/29,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,HFX 6S Scientific Calculator,Technology,Medium Box,Regular Air,2013-07-01,7.92,12.99,49,636.51,7,44.56,636.44,9.44,645.88
5435-1,14/3/10,Adam Hart,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2014-03-11,1.94,3.08,1,3.08,8,0.25,3.00,0.99,3.99
5178-1,13/7/21,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,High,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,2013-07-23,278.99,449.99,12,5399.88,6,323.99,5399.82,49.00,5448.82
5586-1,14/8/11,Adrian Hane,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2014-08-13,3.75,7.08,47,332.76,10,33.28,332.66,2.35,335.01
